node,epoch,train_loss,val_loss
8001,1,0.5219758480689884,0.1407613062705749
8001,2,0.11697777891470716,0.05145970474068935
8001,3,0.04534668812613472,0.02980148357649644
8001,4,0.03362858932148787,0.028315471055415962
8001,5,0.02958684919852447,0.022939679977030326
8001,6,0.026488802377499787,0.02099774608340783
8001,7,0.024782830788419138,0.020084083199692078
8001,8,0.023322129762104522,0.020387933398477543
8001,9,0.022785761162297788,0.020568196422969684
8001,10,0.022521905369715753,0.017338592463578932
8002,1,0.49592758961892747,0.13384952396154404
8002,2,0.08896315838028858,0.04604191237535232
8002,3,0.038699121843394524,0.03853438780284845
8002,4,0.030299223771971927,0.027001513693577204
8002,5,0.026609072425438987,0.023829188006810654
8002,6,0.0243785772714522,0.023901627613947943
8002,7,0.023649237578275143,0.041719669762712255
8002,8,0.02485889369355781,0.02067356117260762
8002,9,0.021182979692934784,0.020056070330051277
8002,10,0.020322134517217903,0.01873660510262618
8003,1,0.48952002518556337,0.09994214180952464
8003,2,0.07310864319661994,0.05365883750029099
8003,3,0.04084545519057806,0.029164732362215336
8003,4,0.031065522505623566,0.02491921742852682
8003,5,0.02730908509126151,0.02415739133571967
8003,6,0.024992242667146704,0.02098464189718167
8003,7,0.02326665021019516,0.020435055741705954
8003,8,0.022054402877322653,0.01859132381968009
8003,9,0.02094335828351413,0.01890581005658859
8003,10,0.02063823381874275,0.01795297352453837
8004,1,0.8238569821407592,0.7059647532609793
8004,2,0.39755558052094153,0.3026166061560313
8004,3,0.24654236007360072,0.1917209499157392
8004,4,0.16307269134163077,0.1304642861852279
8004,5,0.1252679100223616,0.10641897269166432
8004,6,0.10836004928436155,0.09475280487766632
8004,7,0.09881563857197762,0.08383338115154168
8004,8,0.09098566795875823,0.08389752501478562
8004,9,0.08573594190228999,0.08022711703028435
8004,10,0.08285978353685802,0.08170109471449485
8005,1,0.6778682889633401,0.25449306465858634
8005,2,0.14190513367742993,0.06622182820425478
8005,3,0.057065116003328975,0.036094915165111076
8005,4,0.03843797903594583,0.029673514844373215
8005,5,0.030645653443021136,0.024831005350448365
8005,6,0.027231530708715666,0.021652647900546707
8005,7,0.023951493788423928,0.019780738040978133
8005,8,0.021457387675899407,0.01848835101740998
8005,9,0.019757925408220915,0.015290436529835989
8005,10,0.018360554814598588,0.015010273907073709
8006,1,0.3815627833328596,0.14679366128089336
8006,2,0.08005541762927683,0.03618887056095096
8006,3,0.03670608973721179,0.024612957593769982
8006,4,0.02633962199182772,0.020171287738216612
8006,5,0.022061409478689113,0.016474096892544858
8006,6,0.01916033456147444,0.015618296196827522
8006,7,0.01754640050050689,0.014650102274922224
8006,8,0.015456852137406425,0.01237648232983282
8006,9,0.013863940259850606,0.012708180207902422
8006,10,0.012894169702308207,0.011660068877972662
8007,1,0.4203252505965349,0.08438989376792541
8007,2,0.0540130113955678,0.03122439020528243
8007,3,0.029442184600161344,0.023922547232359648
8007,4,0.02461514761444272,0.019903171807527542
8007,5,0.02144265102631435,0.019760563342760388
8007,6,0.019919192363939634,0.016768676578067243
8007,7,0.01852211269618171,0.015526730764227418
8007,8,0.016672363485459512,0.015691552830573458
8007,9,0.015563471900390053,0.015174086402671842
8007,10,0.014521363107260408,0.012393197779042216
8008,1,0.41140954850650413,0.08037675028810135
8008,2,0.048111569036434335,0.027864594460250094
8008,3,0.028850215400864437,0.02176424614691104
8008,4,0.02444729189411169,0.019514552232486986
8008,5,0.02249564155936241,0.019214188281554155
8008,6,0.02031568030758602,0.018752629009003822
8008,7,0.018980818178232123,0.013993319786655216
8008,8,0.018032049433123774,0.01441155823592383
8008,9,0.01607331410504696,0.012575579462393831
8008,10,0.015513795564269147,0.012156637067584177
8009,1,0.6043389726892795,0.23868376093033034
8009,2,0.17971203432363622,0.07024447075449504
8009,3,0.060497338134868475,0.04002061247443541
8009,4,0.04402766673783072,0.032943448338371054
8009,5,0.03766742203798559,0.025627874745390355
8009,6,0.03217888047638672,0.022969626415616427
8009,7,0.027871964980233338,0.021543550591629285
8009,8,0.026462439009371924,0.020943324535320967
8009,9,0.023011896308828023,0.018973851003325902
8009,10,0.02260465409265819,0.016570392422951184
8010,1,0.6006433226458439,0.16762759937689856
8010,2,0.10352209926425636,0.05527042759916721
8010,3,0.04898986955741783,0.037321231208550625
8010,4,0.039812973809319654,0.03540188021575793
8010,5,0.03615231133465256,0.028319093303229563
8010,6,0.03343784591400778,0.028456931217358664
8010,7,0.031316291528766034,0.02581195356563116
8010,8,0.028654622022885008,0.023622339471983604
8010,9,0.026731286252328713,0.023089389961499434
8010,10,0.02375736687477533,0.021164189021174725
8011,1,0.5449647587784648,0.1834165221729944
8011,2,0.17669807299530718,0.14389235578304113
8011,3,0.0685583035345878,0.03278555071284605
8011,4,0.03124395350115539,0.02218530846889629
8011,5,0.02312111309536639,0.02293240948212008
8011,6,0.02062525721432189,0.02429919969290495
8011,7,0.017961264431570277,0.01303038922772028
8011,8,0.014908313428839812,0.012629625641979104
8011,9,0.013939961719398316,0.01271978227508276
8011,10,0.012550512441715017,0.01046524559375072
8012,1,0.5443445130118302,0.08583450670807789
8012,2,0.06022660596320381,0.03808611712585657
8012,3,0.03799832655818432,0.02921358686991227
8012,4,0.030739495300917657,0.02582864129008391
8012,5,0.027448255641313344,0.023015092341945723
8012,6,0.02545625541068904,0.021777555513649415
8012,7,0.023406609814227014,0.020335446326778486
8012,8,0.02251985412115207,0.02069257173496179
8012,9,0.021568092692933687,0.01910042330527153
8012,10,0.020592341598655497,0.018688359035131257
8013,1,0.7047951468881571,0.26588741652667525
8013,2,0.17464371011504587,0.10607039975002408
8013,3,0.0751717098572719,0.048350956523790956
8013,4,0.04621319328698347,0.03549183448776603
8013,5,0.037492438670505515,0.0304910390637815
8013,6,0.03213350128077861,0.028109323512762786
8013,7,0.030421021236282476,0.027007174212485552
8013,8,0.027086829005172418,0.023102493723854423
8013,9,0.025353814557241568,0.02004127821419388
8013,10,0.023450162080145855,0.02051109632011503
8014,1,0.5522026902972124,0.16697954481992966
8014,2,0.1060526110470677,0.054419116045419984
8014,3,0.050019524430330746,0.03908893762108607
8014,4,0.0409374170554563,0.03436319587322382
8014,5,0.03802423417950288,0.03531243270024275
8014,6,0.03511106717782334,0.030231270079429332
8014,7,0.033378500336160265,0.029076132350243054
8014,8,0.03214557616350552,0.029098707179610547
8014,9,0.030683681685238693,0.028625446849335462
8014,10,0.02932903123422502,0.02617214672649518
8015,1,0.6397880761052025,0.1988443659488545
8015,2,0.12274755343530305,0.07264237625654353
8015,3,0.06491131443508277,0.03758293346956719
8015,4,0.04208932719992463,0.030395869295610937
8015,5,0.03586091787400022,0.02729171765751617
8015,6,0.032266139014232795,0.02627179639543905
8015,7,0.029594849795103073,0.02541486516075079
8015,8,0.028433561303030104,0.02340655384022136
8015,9,0.02634012308688118,0.022670783838906954
8015,10,0.02430123674198324,0.021534941689826028
8016,1,0.5288930524603214,0.2194688354547207
8016,2,0.10482395747128655,0.04138895081212887
8016,3,0.04008674524188821,0.032352339858428024
8016,4,0.03198467305818804,0.026193065616564874
8016,5,0.028563611812013036,0.02444418983008617
8016,6,0.02662370605942081,0.02344287134324893
8016,7,0.02509107247141062,0.021430801433057357
8016,8,0.024067425211660224,0.020659000015793703
8016,9,0.022558177979602145,0.02290331579458255
8016,10,0.02192720281434994,0.019213578042884667
8017,1,0.526925392961376,0.14574974961578846
8017,2,0.09569060380654361,0.05330392143999537
8017,3,0.04658207333789616,0.03317351546138525
8017,4,0.03523378178634971,0.026328647373399388
8017,5,0.02960441448779964,0.0220073289431942
8017,6,0.02595425151761562,0.022392562318903703
8017,7,0.022820785483985983,0.019607461309836555
