node_id,train_samples_x,train_samples_y,status
8001,21218,0.0173385924635789,normal
8002,21221,0.0187366051026261,norma
8003,21232,0.0179529735245383,normal
8004,21212,0.0817010947144948,normal
8005,23276,0.0150102739070737,abnormal
8006,25902,0.0116600688779726,normal
8007,25687,0.0123931977790422,normal
8008,25457,0.0121566370675841,abnormal
8009,21148,0.0165703924229511,normal
8010,21198,0.0211641890211747,normal
8011,22061,0.0104652455937507,normal
8012,21238,0.0186883590351312,abnormal
8013,21744,0.020511096320115,normal
8014,21716,0.0261721467264951,normal
8015,22887,0.021534941689826,normal
8016,21182,0.0192135780428846,normal
8017,24315,0.0138257256476208,normal
8018,25911,0.0171866703491944,normal
8019,21218,0.0175173163939362,normal
8020,21397,0.0201014368914258,normal
8021,25905,0.011845397883847,normal
8022,21218,0.0157549944109259,normal
8023,21173,0.0160724128811405,normal
8024,21232,0.0174886594550349,normal
8025,22128,0.0206407399493313,normal
8026,21226,0.0170797971674265,normal
8027,21218,0.0248807453287717,normal
8028,22926,0.0220966176573364,normal
8029,25902,0.0112496068916068,normal
8030,21226,0.0284869110163969,normal
8031,21173,0.014671171346727,normal
8032,21173,0.0139431704719288,normal
8033,21173,0.0170358158409213,normal
8034,22514,0.0234902850692955,normal
8035,21176,0.0205940543554532,normal
8036,22688,0.0170290644692127,normal
8037,21204,0.0255480663468822,normal
8038,21226,0.0464022402675488,normal
8039,21112,0.0290889522681633,normal
8040,21218,0.0168936910012211,normal
8041,21212,0.0150916816380161,normal
8042,21210,0.0220743422515881,normal
