node_id,accuracy
8001,0.6727272727272727
8002,0.45180722891566266
8003,0.6707317073170732
8004,0.9664634146341463
8005,0.6463414634146342
8006,0.725609756097561
8007,0.9878048780487805
8008,1.0
8009,0.9548192771084337
8010,1.0
8011,1.0
8012,0.996969696969697
8013,0.39634146341463417
8014,0.5602409638554217
8015,0.9240121580547113
8016,0.851063829787234
8017,0.8704819277108434
8018,0.6888217522658611
8019,0.9878048780487805
8020,0.6158536585365854
8021,0.9939759036144579
8022,1.0
8023,0.9786585365853658
8024,0.9115853658536586
8026,1.0
8027,0.9036144578313253
8028,0.5800604229607251
8029,0.4268292682926829
8030,0.30513595166163143
8031,0.9969512195121951
8032,0.9969879518072289
8033,1.0
8034,0.6158536585365854
8035,0.7108433734939759
8036,0.6475903614457831
8037,0.9909638554216867
8038,0.7378048780487805
8039,0.3212121212121212
8040,0.823170731707317
8041,1.0
8042,1.0
