node_id,train_samples
8001,21218
8002,21221
8003,21232
8004,21212
8005,23276
8006,25902
8007,25687
8008,25457
8009,21148
8010,21198
8011,22061
8012,21238
8013,21744
8014,21716
8015,22887
8016,21182
8017,24315
8018,25911
8019,21218
8020,21397
8021,25905
8022,21218
8023,21173
8024,21232
8025,22128
8026,21226
8027,21218
8028,22926
8029,25902
8030,21226
8031,21173
8032,21173
8033,21173
8034,22514
8035,21176
8036,22688
8037,21204
8038,21226
8039,21112
8040,21218
8041,21212
8042,21210
